Designator,Reference,Package,Mid X,Mid Y ,Rotation,Layer
C1,1u,C_0402_1005Metric,134.75,-100.75,0,top
C2,2.2u,C_0402_1005Metric,136.75,-100.25,0,top
C3,10n,C_0402_1005Metric,144.25,-114.25,-90,top
C4,"470n, 10V",C_0402_1005Metric,149,-121.25,0,top
C5,10n,C_0402_1005Metric,143.25,-114.25,-90,top
C6,100n,C_0402_1005Metric,147,-121.25,0,top
C7,100n,C_0402_1005Metric,151,-121.25,180,top
C8,100n,C_0402_1005Metric,147,-99.8,180,top
C9,10u,C_0402_1005Metric,136.75,-99.25,0,top
C10,1u 25v,C_0402_1005Metric,147.75,-104.25,0,top
C11,10n,C_0402_1005Metric,136.5,-114.9,180,top
C12,"470n, 10V",C_0402_1005Metric,139.75,-121.25,180,top
C13,10n,C_0402_1005Metric,134.5,-114,0,top
C14,100n,C_0402_1005Metric,137.75,-121.25,0,top
C15,100n,C_0402_1005Metric,143.02,-119.5,180,top
C16,100n,C_0402_1005Metric,141.25,-115.25,90,top
C17,10p,C_0402_1005Metric,143.75,-112.5,0,top
C18,100n,C_0402_1005Metric,143.75,-111.5,180,top
C20,10p,C_0402_1005Metric,134.75,-113,0,top
C21,100n,C_0402_1005Metric,134.75,-112,180,top
C23,1n,C_0402_1005Metric,142.75,-115.75,0,top
C24,1u,C_0402_1005Metric,147.75,-101.25,0,top
C25,1u,C_0402_1005Metric,147.75,-102.25,0,top
D1,WS2812B,LED-APA102-2020,148.5,-95.5,90,top
H5,MountingHole_Pad,Mouse bites_7mm,155,-95,135,top
H6,MountingHole_Pad,Mouse bites_7mm,154.981299,-120.018701,45,top
H11,MountingHole_Pad,Mouse bites_7mm,130,-120,135,top
H12,MountingHole_Pad,Mouse bites_7mm,130,-95,45,top
J1,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,150,-107.5,0,top
J7,Conn_01x04_Male,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,142.5,-97,180,top
J8,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,135,-107.5,180,top
L1,15u,L_0805_2012Metric,151,-112.25,-90,top
L2,15u,L_0805_2012Metric,142.5,-120.9,0,top
R1,10k,R_0402_1005Metric,149,-99.75,90,top
R2,10k,R_0402_1005Metric,147.75,-103.25,0,top
R3,100k,R_0402_1005Metric,147.75,-106.25,180,top
R4,100k,R_0402_1005Metric,145.25,-109.5,0,top
R7,100k,R_0402_1005Metric,147.75,-105.25,180,top
R8,100k,R_0402_1005Metric,148,-98.25,90,top
U1,3V3. 500mA,TSOT-23-5,135.3,-103.1,0,top
U2,SX1281,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,147,-118,0,top
U3,SX1281,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,138,-118,0,top
U4,2450FM07D0034T,2450FM07D0034,147.5,-109.25,45,top
U5,2450FM07D0034T,2450FM07D0034,137.5,-109.25,135,top
U7,ESP32-PICO-V3,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm,142.5,-104.5,0,top
U9,2450FM07D0034T,2450FM07D0034,147.2,-114.9,0,top
U10,2450FM07D0034T,2450FM07D0034,139.1,-114.9,0,top
U11,AP2138N-2.8TRG1,SOT-23,150.5,-102.9375,90,top
U12,AT2401C,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,138,-112.25,90,top
U13,AT2401C,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,147,-112.25,90,top
Y3,52Mhz TCXO,Crystal_SMD_2016-4Pin_2.0x1.6mm,142.5,-117.75,0,top
