Comment,Designator,Footprint,LCSC
"1u","C1,C24,C25","Capacitor_SMD:C_0402_1005Metric","C52923"
"1u 25v","C10","Capacitor_SMD:C_0402_1005Metric","C52923"
"10p","C17,C20","Capacitor_SMD:C_0402_1005Metric","C32949"
"2.2u","C2","Capacitor_SMD:C_0402_1005Metric","C12530"
"1n","C23","Capacitor_SMD:C_0402_1005Metric","C1523"
"10n","C3,C5,C11,C13","Capacitor_SMD:C_0402_1005Metric","C15195"
"470n, 10V","C4,C12","Capacitor_SMD:C_0402_1005Metric","C47339"
"100n","C6,C7,C8,C14,C15,C16,C18,C21","Capacitor_SMD:C_0402_1005Metric","C1525"
"10u","C9","Capacitor_SMD:C_0402_1005Metric","C15525"
"WS2812B","D1","LED_SMD:LED-APA102-2020","C965555"
"Conn_Coaxial","J1,J8","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","C88374"
"Conn_01x01_Female","J3,J4,J5,J6","TestPoint:TestPoint_Pad_2.5x2.5mm",""
"Conn_01x04_Male","J7","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","C189895"
"15u","L1,L2","Inductor_SMD:L_0805_2012Metric","C486333"
"10k","R1,R2","Resistor_SMD:R_0402_1005Metric","C25744"
"100k","R3,R4,R7,R8","Resistor_SMD:R_0402_1005Metric","C25741"
"3V3. 500mA","U1","Package_TO_SOT_SMD:TSOT-23-5","C587158"
"AP2138N-2.8TRG1","U11","Package_TO_SOT_SMD:SOT-23","C176956"
"AT2401C","U12,U13","Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm","C783588"
"SX1281","U2,U3","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","C2151551"
"2450FM07D0034T","U4,U5,U9,U10","Anyleaf_Shared:2450FM07D0034",""
"ESP32-PICO-V3","U7","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm","C967022"
"52Mhz TCXO","Y3","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm",""
